frames = 31 markers =13 Hz = 30  		
-29	-19	120
-12	-47	84
-18	16	99
-26	-54	23
-55	60	74
-81	-45	-6
-98	47	34
-1	-19	0
-1	20	0
1	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-29	-19	120
-12	-47	84
-18	16	99
-26	-54	23
-53	62	75
-81	-45	-6
-95	49	33
-1	-19	0
-1	20	0
1	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-29	-19	120
-12	-47	83
-17	16	99
-26	-54	23
-50	64	76
-81	-45	-6
-91	49	32
-1	-19	0
-1	20	0
1	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-29	-19	120
-13	-47	83
-17	16	98
-26	-54	22
-48	65	77
-81	-45	-6
-87	48	32
-1	-19	0
-1	20	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-29	-19	120
-13	-47	82
-18	16	98
-26	-54	22
-46	66	77
-81	-45	-6
-84	47	32
-1	-19	0
-1	21	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-30	-19	119
-13	-47	82
-18	16	98
-26	-54	22
-45	67	77
-81	-45	-6
-81	45	31
-1	-18	0
-1	21	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-30	-19	119
-13	-47	82
-18	16	98
-26	-54	22
-45	67	77
-81	-45	-6
-79	42	31
-1	-18	0
-1	21	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-31	-19	119
-13	-47	82
-18	16	98
-26	-54	22
-45	67	76
-81	-45	-7
-77	39	30
-1	-18	0
0	21	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-31	-19	119
-13	-47	82
-19	16	98
-26	-54	21
-46	66	74
-81	-45	-7
-76	35	30
-1	-18	0
0	21	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-32	-20	118
-13	-47	82
-20	15	98
-26	-54	21
-47	65	72
-81	-45	-7
-76	31	29
0	-18	0
0	21	0
2	-20	-90
1	19	-90
5	-21	-186
3	18	-186
-32	-20	118
-13	-47	82
-20	15	98
-26	-54	21
-48	64	70
-81	-45	-7
-77	27	28
0	-18	0
1	21	0
2	-20	-90
2	19	-90
5	-21	-186
3	18	-186
-32	-20	118
-13	-48	81
-21	15	97
-26	-55	21
-50	62	67
-81	-45	-7
-79	22	27
0	-18	0
2	21	0
2	-20	-90
2	19	-90
5	-21	-186
3	18	-186
-33	-21	117
-13	-48	81
-22	15	96
-26	-55	21
-52	59	64
-80	-45	-7
-81	18	27
1	-18	0
2	21	0
3	-20	-90
2	19	-90
5	-21	-186
3	18	-186
-34	-21	117
-13	-48	81
-23	14	96
-26	-55	20
-54	57	62
-80	-45	-7
-83	14	27
1	-18	0
3	21	0
3	-20	-90
3	19	-90
5	-21	-186
3	18	-186
-34	-21	117
-13	-48	81
-23	14	95
-26	-55	20
-57	54	60
-80	-45	-7
-86	11	27
2	-18	0
4	20	0
3	-20	-90
3	19	-90
5	-21	-186
3	18	-186
-34	-21	117
-13	-48	81
-23	14	95
-25	-56	20
-59	51	59
-80	-46	-7
-90	9	27
2	-18	0
4	20	0
3	-20	-90
4	19	-90
5	-21	-186
3	18	-186
-34	-21	117
-13	-48	81
-23	14	95
-25	-56	20
-61	49	59
-80	-46	-7
-94	8	27
3	-19	0
5	20	0
4	-20	-90
4	19	-90
5	-21	-186
3	18	-186
-34	-21	116
-12	-48	82
-23	14	95
-25	-56	20
-63	46	59
-80	-46	-7
-98	7	27
3	-19	0
5	20	0
4	-20	-90
4	19	-90
5	-21	-186
3	18	-186
-34	-21	116
-12	-48	82
-23	14	95
-25	-56	20
-64	45	59
-80	-46	-7
