frames = 44 markers = 13 Hz = 30		
-28	-1	137
-5	40	100
-19	-36	101
8	54	47
-63	-54	75
-5	64	-7
-104	-35	98
-8	18	1
-6	-19	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-6	40	100
-20	-36	101
8	54	47
-63	-54	71
-5	64	-7
-106	-35	93
-8	19	1
-6	-19	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-6	40	100
-21	-36	101
8	54	47
-61	-53	67
-6	64	-7
-108	-35	88
-8	19	1
-6	-19	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-28	-2	137
-6	40	100
-21	-36	100
8	54	47
-59	-52	63
-6	64	-7
-109	-35	83
-8	19	1
-6	-18	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-29	-2	137
-6	40	100
-21	-35	99
8	54	47
-57	-51	59
-6	64	-7
-109	-35	72
-8	19	1
-6	-18	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-29	-2	137
-7	40	101
-22	-35	98
8	53	47
-55	-50	56
-6	64	-7
-108	-34	65
-8	19	1
-6	-18	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-29	-2	137
-7	40	101
-22	-35	98
8	53	47
-53	-50	53
-6	64	-7
-106	-34	57
-8	19	1
-6	-18	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	40	101
-23	-35	97
8	53	47
-51	-49	51
-6	64	-7
-105	-33	50
-8	19	1
-6	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	39	101
-23	-35	97
8	52	47
-49	-48	49
-6	64	-6
-103	-33	43
-7	19	1
-6	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	39	101
-24	-35	96
8	52	47
-48	-47	47
-6	63	-6
-101	-33	36
-7	19	1
-6	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	39	101
-24	-36	96
8	52	48
-47	-46	46
-6	63	-6
-99	-33	30
-7	19	1
-6	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	39	101
-24	-36	96
8	52	48
-47	-46	45
-6	63	-6
-98	-32	26
-7	19	1
-5	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	39	101
-25	-36	96
8	51	48
-47	-44	45
-6	62	-6
-96	-32	21
-7	19	1
-5	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	39	101
-25	-36	96
8	51	48
-47	-44	45
-6	62	-6
-95	-32	18
-7	19	1
-5	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	38	101
-24	-36	96
7	51	48
-48	-43	45
-6	61	-6
-95	-32	17
-7	19	1
-5	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	38	101
-24	-36	96
7	51	48
-48	-43	46
-6	61	-6
-95	-33	16
-7	19	1
-5	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-30	-2	137
-7	38	101
-24	-36	96
7	51	48
-49	-43	47
-6	61	-6
-95	-33	17
-7	19	1
-5	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-29	-2	137
-6	38	101
-23	-36	96
6	51	48
-49	-43	48
-6	61	-6
-96	-33	19
-7	19	1
-6	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-29	-2	137
-6	38	101
-22	-37	97
6	51	48
-50	-44	49
-6	61	-6
-98	-33	23
-7	19	1
-6	-18	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-29	-1	137
-5	38	101
-21	-37	98
6	51	48
-51	-45	51
-6	61	-6
-100	-34	27
-7	19	1
-6	-19	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-4	38	101
-20	-37	98
6	51	47
-51	-46	53
-6	61	-6
-102	-35	33
-7	19	1
-6	-19	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-3	38	101
-19	-37	99
6	51	47
-52	-48	56
-6	61	-7
-104	-36	42
-7	19	1
-6	-19	2
-4	8	-93
-6	-22	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-3	38	101
-18	-37	100
7	52	47
-53	-49	58
-6	61	-7
-106	-36	48
-7	18	1
-6	-19	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-2	38	101
-17	-37	101
7	52	47
-54	-50	61
-6	61	-7
-108	-36	56
-7	18	1
-6	-19	2
-4	8	-93
-6	-23	-93
-2	-2	-186
-7	-26	-187
-28	-1	137
-2	38	100
-16	-37	101
7	52	47
-56	-51	65
-6	61	-8
-110	-37	65
-7	18	1
-6	-19	2
-4	8	-93
-6	-23	-93
-2	-2	-186
