frames = 48 markers = 13 Hz = 30		
-135	9	31
-99	36	22
-104	-38	13
-81	61	-24
-116	-60	-34
-103	48	-77
-149	-50	-79
-1	19	3
-1	-19	1
30	20	-91
-18	-15	-92
120	17	-77
75	-10	-84
-134	8	32
-98	36	23
-105	-37	13
-79	63	-22
-114	-58	-35
-100	51	-76
-148	-50	-79
-1	19	3
-1	-19	1
25	22	-90
-15	-15	-92
117	18	-76
78	-10	-84
-133	7	33
-98	38	24
-105	-37	13
-78	66	-20
-112	-56	-36
-96	55	-74
-147	-50	-79
-1	19	3
-1	-19	1
22	23	-89
-11	-15	-92
114	19	-75
81	-10	-84
-133	5	34
-97	38	25
-105	-37	13
-78	68	-19
-111	-55	-37
-94	58	-73
-145	-50	-79
-1	19	3
-1	-19	1
19	24	-88
-9	-15	-92
111	20	-75
83	-10	-84
-133	2	35
-97	38	26
-106	-37	13
-78	69	-18
-110	-55	-37
-92	60	-73
-143	-50	-79
-1	19	3
-1	-19	1
15	24	-87
-7	-15	-92
106	21	-74
86	-10	-83
-133	0	36
-96	38	28
-106	-37	13
-77	69	-15
-109	-55	-37
-90	62	-72
-141	-50	-79
-1	19	3
-1	-19	1
11	25	-86
-5	-15	-92
101	22	-74
88	-10	-83
-133	-2	36
-96	37	30
-106	-37	13
-77	69	-13
-108	-55	-37
-90	62	-68
-139	-50	-79
-1	19	3
0	-19	1
5	26	-85
-2	-15	-92
95	23	-74
91	-10	-83
-132	-3	36
-96	36	31
-105	-37	14
-74	69	-9
-106	-55	-37
-91	62	-64
-136	-50	-79
-1	19	3
0	-19	1
-1	26	-84
0	-14	-92
89	23	-74
93	-10	-83
-131	-5	37
-96	34	31
-105	-38	14
-73	67	-8
-104	-55	-37
-95	61	-62
-133	-50	-79
-2	18	3
0	-19	1
-7	26	-84
2	-14	-93
83	23	-74
94	-10	-83
-131	-7	38
-94	33	32
-104	-39	15
-73	67	-7
-103	-55	-37
-100	59	-59
-131	-50	-79
-2	18	3
1	-19	1
-12	26	-84
5	-13	-93
78	23	-75
96	-10	-83
-130	-8	38
-94	32	33
-103	-40	16
-76	66	-8
-101	-56	-37
-105	57	-58
-129	-50	-79
-3	18	3
1	-19	1
-17	26	-84
7	-11	-93
74	22	-76
98	-10	-83
-130	-9	38
-93	31	33
-102	-42	17
-81	64	-11
-100	-57	-36
-111	56	-58
-126	-50	-79
-3	18	3
0	-19	1
-21	25	-85
8	-11	-93
71	21	-78
100	-10	-83
-129	-10	38
-93	30	32
-101	-43	18
-86	62	-13
-99	-59	-35
-117	54	-58
-124	-50	-79
-3	18	3
1	-19	1
-24	24	-86
9	-11	-93
67	21	-80
101	-10	-83
-128	-11	38
-93	28	32
-100	-45	19
-93	60	-14
-98	-61	-34
-123	51	-59
-121	-50	-79
-3	18	3
1	-19	1
-27	23	-88
11	-11	-93
66	20	-81
103	-10	-83
-128	-12	37
-93	28	30
-100	-46	19
-96	58	-17
-96	-63	-34
-131	49	-62
-119	-50	-79
-3	18	3
1	-19	1
-27	20	-90
12	-11	-93
66	20	-81
105	-10	-83
-128	-12	37
-94	28	28
-100	-46	19
-102	57	-19
-94	-64	-34
-137	48	-62
-117	-52	-79
-3	18	3
1	-19	1
-27	18	-91
14	-11	-93
66	19	-80
107	-10	-83
-129	-12	35
-96	28	28
-100	-46	19
-108	56	-22
-93	-64	-33
-143	47	-65
-115	-53	-79
-3	18	3
1	-19	2
-26	17	-92
17	-11	-93
67	19	-80
109	-10	-83
-129	-12	34
-97	28	23
-99	-46	19
-111	54	-24
-91	-66	-33
-147	47	-66
-112	-54	-79
-3	18	3
1	-19	2
-25	17	-92
19	-11	-93
72	18	-80
112	-10	-83
-130	-12	33
-98	28	21
-99	-46	18
-115	54	-26
-88	-66	-33
-149	46	-69
-109	-55	-79
-3	18	3
1	-19	2
-17	17	-92
22	-11	-92
73	17	-81
115	-10	-83
-131	-11	31
-99	30	19
-98	-44	18
-117	54	-28
-86	-66	-32
-151	46	-71
-107	-56	-79
-2	18	2
-1	-19	2
-14	17	-92
26	-12	-92
77	17	-81
118	-10	-83
-131	-9	30
-101	31	17
-98	-43	17
-118	56	-30
-84	-66	-32
-152	46	-74
-105	-57	-79
-2	18	1
-1	-19	2
-10	17	-92
29	-12	-92
81	17	-81
121	-10	-83
-131	-8	28
-101	32	16
-97	-42	17
-118	56	-30
-82	-66	-32
-151	46	-76
-102	-57	-79
-2	18	1
-1	-19	2
-7	17	-92
31	-13	-91
84	16	-81
124	-10	-83
-131	-8	27
-102	32	16
-97	-42	17
-118	56	-30
-80	-66	-31
-150	46	-78
-100	-57	-79
-1	18	1
-1	-19	2
-4	17	-92
33	-15	-90
88	15	-81
126	-10	-82
-131	-7	27
-102	32	16
-96	-42	17
-116	57	-30
-78	-66	-30
-146	45	-79
-97	-58	-79
-1	18	1
-1	-19	2
-1	17	-92
33	-17	-90
92	14	-81
126	-10	-82
-129	-5	28
-102	33	17
-94	-41	18
-113	57	-30
-75	-66	-28
-142	45	-79
-93	-59	-79
-1	18	1
-1	-19	2
2	17	-92
33	-20	-89
94	14	-82
126	-12	-81
-127	-3	29
-98	35	18
-91	-39	20
-110	57	-30
-73	-65	-26
-139	45	-79
-89	-59	-79
-1	18	1
-1	-19	2
6	17	-92
32	-22	-89
98	13	-82
124	-14	-79
-126	-1	31
-97	36	18
-89	-38	22
-108	57	-30
-72	-65	-24
-136	44	-79
-87	-60	-78
-1	18	1
-1	-20	3
9	17	-92
29	-26	-88
101	13	-83
121	-17	-78
-126	1	32
-97	37	19
-88	-37	23
-106	57	-30
-72	-64	-23
-134	43	-79
-85	-61	-78
0	18	1
-2	-20	3
11	17	-92
23	-29	-88
104	12	-83
116	-19	-78
-126	3	33
-97	38	19
-87	-36	24
-105	57	-30
-72	-64	-22
-132	43	-79
-84	-61	-77
0	18	1
-2	-20	3
13	17	-92
17	-32	-87
105	12	-83
109	-22	-78
-125	4	34
-97	38	19
-87	-35	26
-104	57	-30
-72	-64	-20
-130	43	-79
-85	-62	-74
1	18	1
-3	-20	3
13	17	-92
9	-35	-87
106	12	-83
102	-23	-78
-125	5	35
-97	39	19
-87	-35	28
-103	57	-30
-72	-65	-17
-128	43	-79
-87	-63	-71
1	18	1
-3	-20	3
14	17	-93
0	-36	-86
107	12	-83
94	-26	-78
-125	6	36
-98	39	19
-86	-35	29
-102	56	-30
-72	-66	-16
-126	43	-79
-91	-65	-68
1	18	1
-3	-20	3
15	17	-93
-6	-36	-86
108	12	-83
86	-26	-78
-124	7	37
-98	39	20
-86	-35	31
-101	56	-30
-74	-66	-14
-124	43	-79
-97	-66	-67
2	18	1
-4	-20	3
16	17	-93
-12	-36	-84
109	12	-83
79	-26	-78
-124	8	37
-98	39	20
-86	-35	31
-100	56	-30
-77	-66	-14
-122	43	-79
-104	-66	-63
2	18	1
-5	-20	3
17	17	-93
-18	-36	-84
110	12	-83
73	-26	-78
-125	9	37
-98	39	20
-86	-35	31
-99	56	-30
-82	-66	-15
-121	43	-79
-111	-65	-63
2	18	1
-5	-20	3
18	17	-93
-24	-36	-83
111	12	-83
68	-25	-78
-125	9	37
-98	39	20
-86	-35	31
-98	56	-30
-87	-66	-16
-120	43	-79
-118	-64	-62
2	18	1
-6	-20	3
19	17	-93
-28	-36	-83
112	12	-82
64	-23	-79
-126	9	37
-99	38	20
-88	-35	29
-97	56	-30
-93	-66	-17
-119	43	-79
-126	-63	-62
2	18	1
-6	-20	3
20	17	-93
-32	-35	-83
113	12	-82
61	-21	-83
-126	10	37
-100	38	20
-89	-36	28
-96	56	-30
-99	-66	-18
-118	43	-79
-133	-62	-62
2	18	1
-5	-20	3
22	17	-93
-35	-33	-84
115	12	-82
57	-19	-84
-127	10	37
-100	38	21
-91	-36	26
-95	56	-30
-104	-66	-20
-117	43	-79
-139	-61	-63
2	18	1
-5	-20	3
24	17	-93
-36	-30	-86
116	12	-82
56	-17	-84
-127	11	37
-101	37	21
-92	-37	25
-94	56	-29
-109	-65	-21
-116	43	-79
-144	-60	-64
2	18	1
-5	-20	3
26	17	-93
-36	-27	-88
118	12	-82
56	-16	-84
-128	11	36
-101	37	21
-94	-37	23
-93	57	-29
-112	-65	-23
-115	43	-79
-148	-59	-66
2	18	1
-5	-20	3
27	17	-93
-36	-24	-89
120	12	-82
56	-15	-84
-129	12	35
-101	37	21
-96	-37	21
-92	57	-29
-114	-64	-25
-114	43	-79
-151	-58	-67
2	18	1
-5	-20	3
31	17	-93
-36	-20	-89
123	12	-81
56	-14	-84
-131	12	34
-102	36	21
-98	-38	19
-91	58	-29
-116	-64	-27
-112	43	-79
-153	-57	-69
1	18	1
-4	-20	3
32	17	-92
-35	-17	-90
125	12	-81
58	-13	-84
-132	12	34
-103	36	21
-101	-38	17
-91	59	-29
-116	-64	-29
-111	43	-79
-154	-56	-71
1	18	1
-4	-20	3
34	17	-91
-32	-16	-90
126	12	-81
61	-11	-84
-133	12	33
-103	36	21
-101	-39	15
-90	59	-28
-116	-64	-31
-110	44	-79
-154	-55	-72
0	18	1
-3	-20	3
37	17	-91
-29	-15	-92
127	13	-80
64	-10	-84
-134	12	32
-103	36	22
-102	-39	14
-88	60	-27
-115	-64	-32
-108	45	-79
-153	-54	-75
-1	19	3
-2	-20	3
37	17	-91
-26	-15	-93
127	14	-79
67	-10	-84
-134	11	31
-103	36	22
-102	-38	13
-86	61	-26
-114	-63	-33
-107	47	-79
-152	-53	-77
-1	19	3
-2	-20	3
35	17	-91
-21	-15	-93
126	15	-78
71	-10	-84
-135	10	30
-102	36	22
-103	-38	13
-85	62	-25
-113	-62	-34
-105	48	-78
-150	-52	-80
-1	19	3
-2	-20	3
33	20	-91
-18	-15	-94
124	16	-77
74	-10	-84
